_id	listing_url	property_type	room_type	bed_type	minimum_nights	maximum_nights	cancellation_policy	first_review	last_review	accommodates	bedrooms	beds	number_of_reviews	bathrooms	amenities	price	security_deposit	cleaning_fee	extra_people	guests_included	weekly_price	monthly_price	reviews_per_month	review_scores_accuracy	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value	review_scores_rating	availability_30	availability_60	availability_90	availability_365	host_response_time	host_response_rate	host_is_superhost	host_has_profile_pic	host_identity_verified	host_listings_count	host_total_listings_count	address_country_code	address_location_coordinates	address_location_is_location_exact
10051164	https://www.airbnb.com/rooms/10051164	House	Private room	Real Bed	2	1125	strict_14_with_grace_period	2016-02-10T05:00:00Z	2016-02-10T05:00:00Z	8	1	8	1	4		250	0	0	40	4	NA	NA	NA	10	6	8	8	8	8	80	10	10	21	296	within an hour	80	FALSE	TRUE	TRUE	5	5	BR		TRUE
10047964	https://www.airbnb.com/rooms/10047964	House	Entire home/apt	Real Bed	2	1125	flexible	2016-04-02T04:00:00Z	2016-04-02T04:00:00Z	6	2	6	1	1		527	NA	211	211	1	NA	NA	NA	10	10	10	10	10	10	100	27	57	87	362	NA	NA	FALSE	TRUE	TRUE	2	2	TR		TRUE
10108388	https://www.airbnb.com/rooms/10108388	Apartment	Entire home/apt	Real Bed	2	30	moderate	2016-06-30T04:00:00Z	2019-03-06T05:00:00Z	2	1	1	109	1		185	800	120	0	1	NA	NA	NA	10	10	10	10	10	10	100	5	16	35	265	within an hour	100	TRUE	TRUE	TRUE	1	1	AU		FALSE
10116578	https://www.airbnb.com/rooms/10116578	Apartment	Entire home/apt	Real Bed	1	1125	flexible	NA	NA	5	3	3	0	1.5		933	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	60	90	365	NA	NA	FALSE	TRUE	FALSE	1	1	BR		FALSE
10117617	https://www.airbnb.com/rooms/10117617	Apartment	Entire home/apt	Real Bed	7	180	moderate	2016-04-19T04:00:00Z	2017-08-27T04:00:00Z	2	1	1	12	1		40	250	15	0	2	NA	NA	NA	10	10	10	10	9	10	96	0	0	0	46	within a day	100	FALSE	TRUE	TRUE	1	1	PT		FALSE
10141950	https://www.airbnb.com/rooms/10141950	Apartment	Entire home/apt	Real Bed	2	1125	moderate	2016-01-06T05:00:00Z	2016-01-06T05:00:00Z	2	0	1	1	1		966	NA	118	0	1	NA	NA	NA	10	10	10	10	10	10	100	0	0	0	0	NA	NA	FALSE	TRUE	TRUE	1	1	HK		TRUE
10215858	https://www.airbnb.com/rooms/10215858	Apartment	Private room	Real Bed	1	500	strict_14_with_grace_period	2016-07-13T04:00:00Z	2018-11-06T05:00:00Z	2	1	1	9	1		330	NA	NA	0	1	NA	NA	NA	8	7	9	8	10	8	73	20	50	80	135	within an hour	97	FALSE	TRUE	TRUE	29	29	HK		TRUE
10220130	https://www.airbnb.com/rooms/10220130	Apartment	Entire home/apt	Real Bed	2	30	flexible	NA	NA	6	3	3	0	3		746	NA	373	187	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	FALSE	TRUE	TRUE	1	1	BR		TRUE
10227000	https://www.airbnb.com/rooms/10227000	Condominium	Entire home/apt	Real Bed	1	1125	strict_14_with_grace_period	2016-02-20T05:00:00Z	2016-02-20T05:00:00Z	4	1	2	1	1		499	NA	99	0	1	NA	NA	NA	10	10	10	8	10	10	100	30	60	90	365	within a day	91	FALSE	TRUE	TRUE	472	472	US		TRUE
10280433	https://www.airbnb.com/rooms/10280433	Treehouse	Entire home/apt	Real Bed	2	30	strict_14_with_grace_period	2016-08-08T04:00:00Z	2019-02-19T05:00:00Z	2	1	1	103	1.5		185	300	80	0	2	NA	NA	NA	10	10	10	10	10	10	99	20	45	75	165	within a few hours	100	TRUE	TRUE	TRUE	1	1	US		FALSE
102995	https://www.airbnb.com/rooms/102995	Apartment	Entire home/apt	Real Bed	21	30	moderate	2011-05-29T04:00:00Z	2018-01-01T05:00:00Z	3	1	3	45	1		212	275	120	0	1	1702	6000	NA	9	9	10	10	10	9	93	0	3	5	5	within a day	95	FALSE	TRUE	TRUE	4	4	US		TRUE
